,video,method,value
362,video_46,maxim_gopro,2.5971811229478416
363,video_46,gt,4.577664572109351
364,video_46,maxim_realblur_j,1.0654807832912017
365,video_46,mffdnet,0.07452216661499378
366,video_46,nafnet_reds,4.86810740691527
367,video_46,maxim_reds,2.129544223020228
368,video_47,maxim_realblur_j,5.016744007691733
369,video_47,nafnet_reds,2.4276429215746993
370,video_47,maxim_gopro,2.554546721626099
371,video_47,gt,9.10912219484853
372,video_47,maxim_reds,1.8157936608282337
373,video_47,deblurgan_inception,5.958797334718549
374,video_47,mffdnet,2.6470377955174462
375,video_47,real_blur,0.0
376,video_48,real_blur,0.0
377,video_48,nafnet_reds,3.7417616118108668
378,video_48,gt,6.086684874332597
379,video_48,maxim_gopro,2.048601538345662
380,video_48,deblurgan_inception,3.9773388662153684
381,video_48,maxim_reds,1.8771965529544685
382,video_48,mffdnet,0.7128642868648962
383,video_48,maxim_realblur_j,0.09865011557382285
384,video_49,deblurgan_inception,4.689747305589653
385,video_49,nafnet_reds,5.981238077726544
386,video_49,gt,7.332490104645416
387,video_49,maxim_reds,4.046024142870503
388,video_49,real_blur,0.0
389,video_49,mffdnet,1.6152819144286883
390,video_49,maxim_realblur_j,7.057777650735937
391,video_49,maxim_gopro,1.9994987243068842
392,video_50,maxim_reds,1.6648181324688738
393,video_50,mffdnet,1.3930472944052417
394,video_50,deblurgan_inception,5.078973456346234
395,video_50,gt,7.002480104302232
396,video_50,maxim_realblur_j,3.930554595984212
397,video_50,real_blur,0.0
398,video_50,maxim_gopro,1.1932117720816922
399,video_50,nafnet_reds,4.8169713975275
400,video_51,nafnet_reds,5.308357767434515
401,video_51,maxim_realblur_j,3.334563285925836
402,video_51,mffdnet,0.0
403,video_51,maxim_reds,4.188378117741694
404,video_51,gt,5.11860748274598
405,video_51,maxim_gopro,4.493640675938753
406,video_51,real_blur,2.2982742745707747
407,video_51,deblurgan_inception,5.816114277684565
408,video_52,mffdnet,0.0
409,video_52,maxim_realblur_j,5.4810864560887245
410,video_52,maxim_reds,3.0421621735780113
411,video_52,deblurgan_inception,5.450963380086843
412,video_52,maxim_gopro,3.0743619941650637
413,video_52,real_blur,0.6417830504252223
414,video_52,nafnet_reds,3.728000461154003
415,video_52,gt,7.257243961945155
416,video_53,mffdnet,1.462494870418071
417,video_53,deblurgan_inception,4.425669737369249
418,video_53,maxim_reds,1.3718991719539522
419,video_53,gt,7.14728348609319
420,video_53,real_blur,0.0
421,video_53,nafnet_reds,5.025469175822507
422,video_53,maxim_gopro,1.959777866921567
